model,solver,n_obj,steps
T=4 dt=0.5,Tsit5,9,23
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,5,27
T=4 dt=0.5,Tsit5,4,22
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,3,21
T=4 dt=0.5,Tsit5,9,25
T=4 dt=0.5,Tsit5,9,30
T=4 dt=0.5,Tsit5,10,23
T=4 dt=0.5,Tsit5,3,23
T=4 dt=0.5,Tsit5,9,27
T=4 dt=0.5,Tsit5,9,26
T=4 dt=0.5,Tsit5,9,36
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,7,34
T=4 dt=0.5,Tsit5,5,35
T=4 dt=0.5,Tsit5,3,22
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,7,23
T=4 dt=0.5,Tsit5,5,16
T=4 dt=0.5,Tsit5,7,22
T=4 dt=0.5,Tsit5,9,34
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,7,22
T=4 dt=0.5,Tsit5,5,22
T=4 dt=0.5,Tsit5,8,27
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,10,29
T=4 dt=0.5,Tsit5,6,24
T=4 dt=0.5,Tsit5,10,35
T=4 dt=0.5,Tsit5,7,21
T=4 dt=0.5,Tsit5,7,24
T=4 dt=0.5,Tsit5,3,23
T=4 dt=0.5,Tsit5,9,27
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,4,20
T=4 dt=0.5,Tsit5,10,26
T=4 dt=0.5,Tsit5,8,28
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,8,22
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,9,25
T=4 dt=0.5,Tsit5,4,21
T=4 dt=0.5,Tsit5,9,22
T=4 dt=0.5,Tsit5,3,24
T=4 dt=0.5,Tsit5,6,30
T=4 dt=0.5,Tsit5,9,31
T=4 dt=0.5,Tsit5,9,22
T=4 dt=0.5,Tsit5,10,29
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,5,31
T=4 dt=0.5,Tsit5,7,25
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,9,24
T=4 dt=0.5,Tsit5,7,37
T=4 dt=0.5,Tsit5,5,27
T=4 dt=0.5,Tsit5,3,20
T=4 dt=0.5,Tsit5,7,23
T=4 dt=0.5,Tsit5,6,20
T=4 dt=0.5,Tsit5,5,22
T=4 dt=0.5,Tsit5,3,19
T=4 dt=0.5,Tsit5,4,30
T=4 dt=0.5,Tsit5,9,21
T=4 dt=0.5,Tsit5,7,21
T=4 dt=0.5,Tsit5,10,25
T=4 dt=0.5,Tsit5,3,19
T=4 dt=0.5,Tsit5,10,26
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,6,19
T=4 dt=0.5,Tsit5,10,22
T=4 dt=0.5,Tsit5,3,24
T=4 dt=0.5,Tsit5,3,18
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,9,24
T=4 dt=0.5,Tsit5,4,24
T=4 dt=0.5,Tsit5,6,22
T=4 dt=0.5,Tsit5,10,29
T=4 dt=0.5,Tsit5,3,17
T=4 dt=0.5,Tsit5,8,31
T=4 dt=0.5,Tsit5,4,26
T=4 dt=0.5,Tsit5,8,29
T=4 dt=0.5,Tsit5,5,23
T=4 dt=0.5,Tsit5,6,22
T=4 dt=0.5,Tsit5,4,23
T=4 dt=0.5,Tsit5,10,31
T=4 dt=0.5,Tsit5,8,24
T=4 dt=0.5,Tsit5,9,23
T=4 dt=0.5,Tsit5,6,27
T=4 dt=0.5,Tsit5,4,21
T=4 dt=0.5,Tsit5,8,24
T=4 dt=0.5,Tsit5,5,36
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,10,23
T=4 dt=0.5,Tsit5,5,22
T=4 dt=0.5,Tsit5,8,22
T=4 dt=0.5,Tsit5,4,26
T=4 dt=0.5,Tsit5,10,29
T=4 dt=0.5,Tsit5,6,16
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,8,27
T=4 dt=0.5,Tsit5,4,25
T=4 dt=0.5,Tsit5,9,32
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,8,35
T=4 dt=0.5,Tsit5,9,23
T=4 dt=0.5,Tsit5,6,24
T=4 dt=0.5,Tsit5,4,16
T=4 dt=0.5,Tsit5,6,29
T=4 dt=0.5,Tsit5,10,31
T=4 dt=0.5,Tsit5,9,28
T=4 dt=0.5,Tsit5,5,25
T=4 dt=0.5,Tsit5,8,21
T=4 dt=0.5,Tsit5,9,30
T=4 dt=0.5,Tsit5,5,27
T=4 dt=0.5,Tsit5,6,28
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,9,27
T=4 dt=0.5,Tsit5,9,25
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,3,20
T=4 dt=0.5,Tsit5,3,19
T=4 dt=0.5,Tsit5,5,26
T=4 dt=0.5,Tsit5,3,24
T=4 dt=0.5,Tsit5,9,20
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,5,25
T=4 dt=0.5,Tsit5,3,18
T=4 dt=0.5,Tsit5,8,32
T=4 dt=0.5,Tsit5,5,24
T=4 dt=0.5,Tsit5,3,16
T=4 dt=0.5,Tsit5,5,27
T=4 dt=0.5,Tsit5,7,34
T=4 dt=0.5,Tsit5,5,29
T=4 dt=0.5,Tsit5,7,19
T=4 dt=0.5,Tsit5,3,17
T=4 dt=0.5,Tsit5,7,32
T=4 dt=0.5,Tsit5,8,25
T=4 dt=0.5,Tsit5,4,25
T=4 dt=0.5,Tsit5,4,25
T=4 dt=0.5,Tsit5,9,23
T=4 dt=0.5,Tsit5,5,22
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,3,15
T=4 dt=0.5,Tsit5,3,17
T=4 dt=0.5,Tsit5,7,18
T=4 dt=0.5,Tsit5,10,33
T=4 dt=0.5,Tsit5,3,26
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,7,26
T=4 dt=0.5,Tsit5,10,24
T=4 dt=0.5,Tsit5,4,23
T=4 dt=0.5,Tsit5,7,20
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,6,29
T=4 dt=0.5,Tsit5,5,24
T=4 dt=0.5,Tsit5,4,13
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,8,36
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,3,14
T=4 dt=0.5,Tsit5,6,30
T=4 dt=0.5,Tsit5,3,29
T=4 dt=0.5,Tsit5,3,18
T=4 dt=0.5,Tsit5,9,28
T=4 dt=0.5,Tsit5,10,34
T=4 dt=0.5,Tsit5,9,33
T=4 dt=0.5,Tsit5,8,32
T=4 dt=0.5,Tsit5,7,23
T=4 dt=0.5,Tsit5,3,17
T=4 dt=0.5,Tsit5,9,25
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,3,24
T=4 dt=0.5,Tsit5,9,31
T=4 dt=0.5,Tsit5,7,26
T=4 dt=0.5,Tsit5,6,31
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,10,30
T=4 dt=0.5,Tsit5,4,33
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,9,26
T=4 dt=0.5,Tsit5,5,23
T=4 dt=0.5,Tsit5,5,16
T=4 dt=0.5,Tsit5,10,20
T=4 dt=0.5,Tsit5,5,28
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,4,26
T=4 dt=0.5,Tsit5,7,32
T=4 dt=0.5,Tsit5,6,24
T=4 dt=0.5,Tsit5,3,27
T=4 dt=0.5,Tsit5,7,22
T=4 dt=0.5,Tsit5,5,21
T=4 dt=0.5,Tsit5,3,15
T=4 dt=0.5,Tsit5,9,29
T=4 dt=0.5,Tsit5,5,30
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,5,23
T=4 dt=0.5,Tsit5,6,21
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,8,22
T=4 dt=0.5,Tsit5,4,30
T=4 dt=0.5,Tsit5,6,21
T=4 dt=0.5,Tsit5,6,22
T=4 dt=0.5,Tsit5,4,28
T=4 dt=0.5,Tsit5,7,31
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,5,31
T=4 dt=0.5,Tsit5,5,28
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,7,29
T=4 dt=0.5,Tsit5,4,24
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,9,24
T=4 dt=0.5,Tsit5,4,23
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,4,16
T=4 dt=0.5,Tsit5,4,31
T=4 dt=0.5,Tsit5,7,19
T=4 dt=0.5,Tsit5,3,26
T=4 dt=0.5,Tsit5,5,22
T=4 dt=0.5,Tsit5,5,20
T=4 dt=0.5,Tsit5,5,24
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,5,34
T=4 dt=0.5,Tsit5,3,16
T=4 dt=0.5,Tsit5,6,24
T=4 dt=0.5,Tsit5,9,21
T=4 dt=0.5,Tsit5,8,28
T=4 dt=0.5,Tsit5,10,30
T=4 dt=0.5,Tsit5,10,26
T=4 dt=0.5,Tsit5,3,19
T=4 dt=0.5,Tsit5,3,26
T=4 dt=0.5,Tsit5,4,24
T=4 dt=0.5,Tsit5,3,16
T=4 dt=0.5,Tsit5,3,23
T=4 dt=0.5,Tsit5,7,28
T=4 dt=0.5,Tsit5,5,31
T=4 dt=0.5,Tsit5,8,28
T=4 dt=0.5,Tsit5,9,40
T=4 dt=0.5,Tsit5,10,20
T=4 dt=0.5,Tsit5,7,23
T=4 dt=0.5,Tsit5,6,25
T=4 dt=0.5,Tsit5,4,18
T=4 dt=0.5,Tsit5,5,29
T=4 dt=0.5,Tsit5,7,21
T=4 dt=0.5,Tsit5,8,27
T=4 dt=0.5,Tsit5,5,26
T=4 dt=0.5,Tsit5,10,24
T=4 dt=0.5,Tsit5,6,23
T=4 dt=0.5,Tsit5,6,26
T=4 dt=0.5,Tsit5,8,30
T=4 dt=0.5,Tsit5,5,28
T=4 dt=0.5,Tsit5,6,27
T=4 dt=0.5,Tsit5,5,20
T=4 dt=0.5,Tsit5,3,21
T=4 dt=0.5,Tsit5,8,28
T=4 dt=0.5,Tsit5,7,24
T=4 dt=0.5,Tsit5,6,33
T=4 dt=0.5,Tsit5,6,21
T=4 dt=0.5,Tsit5,7,30
T=4 dt=0.5,Tsit5,6,29
T=4 dt=0.5,Tsit5,6,27
T=4 dt=0.5,Tsit5,3,16
T=4 dt=0.5,Tsit5,4,14
T=4 dt=0.5,Tsit5,4,23
T=4 dt=0.5,Tsit5,5,21
T=4 dt=0.5,Tsit5,9,27
T=4 dt=0.5,Tsit5,4,17
T=4 dt=0.5,Tsit5,7,20
T=4 dt=0.5,Tsit5,10,30
T=4 dt=0.5,Tsit5,4,19
T=4 dt=0.5,Tsit5,8,26
T=4 dt=0.5,Tsit5,5,20
T=4 dt=0.5,Tsit5,8,23
T=4 dt=0.5,Tsit5,10,31
T=4 dt=0.5,Tsit5,4,22
T=4 dt=0.5,Tsit5,7,34
T=4 dt=0.5,Tsit5,4,22
T=4 dt=0.5,Tsit5,4,16
T=4 dt=0.5,Tsit5,8,18
T=4 dt=0.5,Tsit5,7,20
T=4 dt=0.5,Tsit5,3,16
T=4 dt=0.5,Tsit5,7,32
T=4 dt=0.5,Tsit5,5,29
T=4 dt=0.5,Tsit5,5,18
T=4 dt=0.5,Tsit5,5,27
T=4 dt=0.5,Tsit5,9,35
T=4 dt=0.5,Tsit5,4,18
T=4 dt=0.5,Tsit5,4,26
T=4 dt=0.5,Tsit5,5,19
T=4 dt=0.5,Tsit5,8,22
T=4 dt=0.5,Tsit5,3,23
T=4 dt=0.5,Tsit5,9,31
T=4 dt=0.5,Tsit5,5,25
T=4 dt=0.5,Tsit5,7,25
T=4 dt=0.5,Tsit5,7,27
T=4 dt=0.5,Tsit5,6,21
T=4 dt=0.5,Tsit5,5,34
T=4 dt=0.5,Tsit5,5,28
T=4 dt=0.5,Tsit5,9,24
T=4 dt=0.5,Tsit5,10,28
T=4 dt=0.5,Tsit5,7,28
T=4 dt=0.5,Tsit5,10,27
T=4 dt=0.5,Tsit5,8,25
T=4 dt=0.5,Tsit5,9,26
T=4 dt=0.5,Tsit5,8,26
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,10,12
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,4,14
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,6,16
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,10,20
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,8,11
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,5,19
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,6,14
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,3,12
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,17
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,10,13
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,5,16
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,6,15
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,8,19
T=5 dt=1,Dopri5,3,13
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,10,12
T=5 dt=1,Dopri5,3,13
T=5 dt=1,Dopri5,3,13
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,7,16
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,10,16
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,10,16
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,8,17
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,5,15
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,10,12
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,10,12
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,6,16
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,9,17
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,10,13
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,3,12
T=5 dt=1,Dopri5,9,19
T=5 dt=1,Dopri5,9,16
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,10,13
T=5 dt=1,Dopri5,8,11
T=5 dt=1,Dopri5,10,13
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,8,11
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,3,12
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,10,18
T=5 dt=1,Dopri5,3,12
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,4,13
T=5 dt=1,Dopri5,6,14
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,6,13
T=5 dt=1,Dopri5,4,11
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,8,15
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,4,15
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,9,20
T=5 dt=1,Dopri5,6,14
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,10,17
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,5,12
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,6,15
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,9,18
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,3,9
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,3,13
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,8,13
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,3,9
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,10,14
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,7,12
T=5 dt=1,Dopri5,7,15
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,5,14
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,10,13
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,8,16
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,3,9
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,10,18
T=5 dt=1,Dopri5,9,13
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,7,14
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,9,14
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,3,10
T=5 dt=1,Dopri5,9,17
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,9,17
T=5 dt=1,Dopri5,10,18
T=5 dt=1,Dopri5,4,10
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,9,15
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,10,15
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,8,14
T=5 dt=1,Dopri5,4,12
T=5 dt=1,Dopri5,7,16
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,3,13
T=5 dt=1,Dopri5,7,13
T=5 dt=1,Dopri5,5,10
T=5 dt=1,Dopri5,3,11
T=5 dt=1,Dopri5,9,12
T=5 dt=1,Dopri5,5,13
T=5 dt=1,Dopri5,7,11
T=5 dt=1,Dopri5,5,11
T=5 dt=1,Dopri5,6,11
T=5 dt=1,Dopri5,6,12
T=5 dt=1,Dopri5,8,12
T=5 dt=1,Dopri5,4,11
